Headline,Author credits,Date and Time,Text
NBA Scrimmages Roundup: Day 1 from Orlando,"Jul 22, 2020 6:07 PM ET",null,"


















Jul 22, 2020 6:07 PM ET
All 22 teams participating in the NBA Restart will play three scrimmages before game action officially tips off on July 30. The NBA will be using 10-minute quarters instead of the usual 12 minutes for the scrimmages.
Below are game recaps from all games played on July 22.
* * *
The Los Angeles Clippers defeated the Orlando Magic, 99-90, on Wednesday afternoon in the opening scrimmage of the NBA restart in Orlando.
 
The squads broke ice on the NBA’s four-month-plus shutdown with both teams playing the majority of their regulars in the 40-minute scrimmage. Kawhi Leonard, Paul George, Aaron Gordon and Nikola Vucevic were among those who had a solid workload.
 
Lou Williams scored a game-high 22 points, while George had 18 points and five rebounds as the Clippers turned in a dominant 32-16 advantage in the second quarter. The Magic chipped six points off their 11-point halftime deficit in the third quarter, but Los Angeles outpaced them by four points in the fourth to secure the win.
 
Leonard, Reggie Jackson and Marcus Morris each had nine points for the Clippers. Joakim Noah started at center with both Ivica Zubac and Montrezl Harrell away from Orlando and totaled four points, five rebounds and three assists.
 
Vucevic led the way for the Magic with 18 points on 61.5 percent shooting from the field, adding 10 rebounds and three assists. Michael Carter-Williams followed with a bench-leading 16 points, and Terrence Ross scored 14 points. Gordon posted 13 points, seven boards, three assists and one block. The starting backcourt of D.J. Augustin and Evan Fournier mustered a combined five points on 0-for-6 shooting from the floor.-- By Juan Carlos Blanco, RotoWire
* * *
The Denver Nuggets defeated the Washington Wizards, 89-82, in an NBA Season Restart Scrimmage at Orlando on Wednesday.
Tied 68-68 with six minutes remaining, the Nuggets put the game away with a 21-14 run. Denver led for 30 minutes of the 40-minute scrimmage, shooting 44 percent from the field and 32 percent from 3-point range while holding the Wizards to 37-percent shooting, including 27 percent from long range.
The Nuggets, who blocked seven shots and out-rebounded the Wizards, 47-34, were led by Troy Daniels' 22 points, six rebounds and three assists. Nikola Jokic collected 16 points, seven rebounds and seven assists. The 7-foot-2 Bol Bol, who did not play during the regular season because of a foot injury, made his Nuggets' debut with 16 points, 10 rebounds and six blocks as a starter.
The Wizards were led by Rui Hachimura, who totaled 18 points and nine rebounds. Troy Brown posted 12 points, six rebounds, five assists and three steals. Ish Smith was the only other player in double figures, leading the bench with 10 points, two rebounds, three assists and two steals.
Both teams are off until Saturday, with Washington playing the Los Angeles Clippers and Denver facing the New Orleans Pelicans.
-- By Joel Bartilotta, RotoWire
* * *
This game recap will be updated. Please check back.
 
* * *
This game recap will be updated. Please check back.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Full schedule: NBA restart scrimmages,NBA.com Staff ,"Jul 22, 2020 8:27 AM ET","










NBA.com Staff 
Jul 22, 2020 8:27 AM ET

            All 22 teams in Orlando will play three scrimmages before the Season Restart begins on July 30. 
          
The NBA has released its scrimmage schedule in advance of the 2019-20 Season Restart at Walt Disney World Resort in Orlando. All 22 teams participating will play three scrimmages before the restart officially tips off on July 30. The NBA will be using 10-minute quarters instead of the usual 12 minutes for the scrimmages.
> Every scrimmage will be available on NBA League Pass
> NBA TV to televise 16 scrimmages
> Complete schedule
 
All times are Eastern Standard
The NBA Season Restart Scrimmage Schedule!From July 22-28, participating teams will compete in three inter-squad scrimmages in final preparation for the resumption of the season on July 30. #WholeNewGamepic.twitter.com/c27jDrsTQw
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
"Russell Westbrook clears protocol, joins Rockets' practice",From NBA media reports ,"Jul 22, 2020 11:22 AM ET","

















From NBA media reports 
Jul 22, 2020 11:22 AM ET

            Russell Westbrook is back at practice with Houston. (Photo via Rockets.com)
          
Houston Rockets guard Russell Westbrook returned to the floor on Wednesday after being away from the team due to a positive test for COVID-19.
Westbrook arrived in Orlando on Monday after quarantining for two weeks. Once he arrived in Orlando, he quarantined in his hotel room until he cleared the NBA's protocol to enter the campus.

Westbrook told the media on Wednesday he experienced no COVID-19 symptoms beyond a stuffy nose. He is unsure how long it will take him to return to game shape.
“First of all, I’m just thankful and blessed to be able to go out and compete again,” Westbrook said. “But, just quarantining at home, trying to be productive, obviously not able to get on the basketball floor, but finding ways to kind of stay active and do as much conditioning I can probably do as far as that.
“That’s the last think I worry about, honestly. Before I had to quarantine, I was in pretty good shape so I should be all right.”
Coach Mike D'Antoni said Westbrook probably won't be available for Friday's scrimmage against the Toronto Raptors. Westbrook was expected to go through about 80% of Wednesday's practice.

“We’ll wait the next two practices, see where he is,"" D'Antoni said. ""Whether he wants to be thrown out there real quick or wants another couple of days. Whatever he wants is cool. He knows his body. We’re not talking about a normal athlete. We’re talking about a super athlete.”
“I have to see if I can make a layup at this point,” Westbrook said. “I got to start there and work my way from there.”
The final player yet to arrive for the Rockets is recently signed forward Luc Mbah a Moute. According to D'Antoni, Mbah a Moute has been cleared to travel and could arrive in Orlando on Wednesday.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Zion Williamson has no timetable for return to NBA campus,Tim Reynolds | Associated Press ,"Jul 22, 2020 3:30 PM ET","














Tim Reynolds | Associated Press 
Jul 22, 2020 3:30 PM ET

            Zion Williamson had to leave the NBA campus for an urgent family matter on July 16.
          
LAKE BUENA VISTA, Fla. (AP) — Zion Williamson could still make re-opening night of the NBA season.
The New Orleans Pelicans said Wednesday that Williamson, who left the NBA bubble at Walt Disney World last week, is being tested daily for the coronavirus and continues showing negative results. If that continues, Williamson may have to quarantine for only four days when he returns to the team.
And if that return comes in the next few days, that means he could still have a shot of playing when New Orleans faces Utah on July 30 in the first of the 88 seeding games at Disney.

“While there is no current timetable for his return to campus, he fully intends to rejoin the team,” the Pelicans said in a statement. “Per NBA protocol, his quarantine period will be determined upon his return.”
The minimum quarantine Williamson would have to serve for leaving, even though he was officially excused, is the four-day option.
The rookie left the team to tend to “an urgent family matter,” the Pelicans said.
The former Duke star has played in 19 games this season, averaging 23.6 points and 6.8 rebounds per game. He also missed the actual opening night of the season, when New Orleans played the first game of this 2019-20 campaign in Toronto against the reigning NBA champion Raptors.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
null,null,null,null
NBA TV to televise 16 scrimmages leading up to season restart,Official release ,"Jul 21, 2020 10:36 AM ET","














































Official release 
Jul 21, 2020 10:36 AM ET
NBA TV will televise 16 inter-squad scrimmages, starting with a doubleheader on Wednesday, July 22, featuring the Orlando Magic against the LA Clippers at 3 p.m. ET, followed by the New Orleans Pelicans and Brooklyn Nets at 7 p.m. 
Overall, the network will feature the Los Angeles Lakers, Toronto Raptors, LA Clippers, Miami Heat, Houston Rockets and Boston Celtics, among others. NBA TV will offer live game action from Orlando for all seven days of scrimmages, including six doubleheaders and one quadruple-header, with additional scrimmage highlights including:
Additionally, all scrimmages will be available via NBA League Pass. For a complete listing of NBA scrimmages, visit: nba.com/schedule. 
Under the competitive format for the restart, the 22 participating teams will be the eight teams in each conference with the highest current winning percentages and the six teams that are currently within six games of the eighth seed in either conference. The restart will begin with each participating team playing eight “seeding games,” as selected from its remaining regular-season matchups.
The network will tip off its live “seeding games” schedule with the Trail Blazers facing the Grizzlies on Friday, July 31, at 4 p.m.
NBA TV is available directly to consumers through NBA.com and the NBA App. The channel’s programming offerings include live NBA game telecasts, original programming and an extensive list of on-demand video content.
 
NBA TV Scrimmage Schedule
(All Times Eastern)
 
Wednesday, July 22
Orlando Magic vs. LA Clippers (3 p.m.)
Washington Wizards vs. Denver Nuggets (5 p.m. -- Tape Delayed)
New Orleans Pelicans vs. Brooklyn Nets (7 p.m.)
Sacramento Kings vs. Miami Heat (9 p.m. -- Tape Delayed)
 
Thursday, July 23
Portland Trail Blazers vs. Indiana Pacers (3:30 p.m.)
Dallas Mavericks vs. Los Angeles Lakers (7 p.m.)
 
Friday, July 24
Oklahoma City Thunder vs. Boston Celtics (5 p.m.)
Houston Rockets vs. Toronto Raptors (7:30 p.m.)
 
Saturday, July 25
Los Angeles Lakers vs. Orlando Magic (Noon)
Miami Heat vs. Utah Jazz (4 p.m.)
 
Sunday, July 26
Philadelphia 76ers vs. Oklahoma City Thunder (Noon)
Indiana Pacers vs. Dallas Mavericks (4 p.m.)
Portland Trail Blazers vs. Toronto Raptors (6 p.m.)
Houston Rockets vs. Memphis Grizzlies (8 p.m.)
 
Monday, July 27
Washington Wizards vs. Los Angeles Lakers (3 p.m.)
Utah Jazz vs. Brooklyn Nets (5:30 p.m.)
 
Tuesday, July 28
Memphis Grizzlies vs. Miami Heat (2 p.m.)
San Antonio Spurs vs. Indiana Pacers (4 p.m.)
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
"To NBA coaches, racial equality is a priority of the restart",By Tim Reynolds | The Associated Press ,"Jul 22, 2020 4:43 PM ET","


























By Tim Reynolds | The Associated Press 
Jul 22, 2020 4:43 PM ET

            Hawks coach Lloyd Pierce is using his platform to create change.
          
LAKE BUENA VISTA, Fla. (AP) -- Dallas’ Rick Carlisle now starts every interview session by reading from a calendar that highlights something that happened on that day in the country’s racial history. Toronto’s Nick Nurse is often wearing shirts to practice proclaiming that Black Lives Matter. Orlando’s Steve Clifford, in lieu of pre-practice film, showed his team a documentary on the life of John Lewis.
While NBA players are using the season restart to demand change, coaches in the league are not making them walk down that path alone.
Coaches around the NBA -- where most players are Black and most coaches are white -- have been active participants in the demand societal change around the league. The demands became a flashpoint when George Floyd, a handcuffed Black man, died when a Minneapolis police officer pressed a knee into his neck for several minutes.
“I think it’s just understanding the moment and the movement that is taking place,” Atlanta coach Lloyd Pierce said. “That’s what all our coaches are doing, and as white coaches, they’re no fools. I think the beauty of our game is, we coach African American men, myself and the white coaches. We’re around it. We know our league is predominantly African American. So why not? If we’re going to ask for others to be empathetic, I think we all have to be empathetic.”
Pierce isn’t at the NBA restart at Walt Disney World -- the Hawks aren’t among the 22 teams still playing this season -- but he’s been active on regular leaguewide coaches Zoom calls and leads a committee of coaches tasked with how those in the NBA can best aid the societal-change movement.
He also helped get someone to coach the coaches.
Bryan Stevenson is the founder and executive director of the Equal Justice Initiative, an NBA community partner, and is someone who has spent 30 years pushing for social justice. He was scheduled to meet with the NBA’s coaches over a Zoom call for a half-hour a few weeks ago. The call went more than three times that long, and from there a running dialogue was born.
“It was mesmerizing,” Carlisle said of that initial call. “It was an education in itself.”
It’s the calendar created by Stevenson’s organization that Carlisle reads from each day. The impact by whatever Stevenson said to coaches that first night has continued resonating.
“You have to believe things you haven’t seen,” Stevenson said. “You have to have hope that we can turn this moment into something more than a moment. I mean, hopelessness is the enemy of justice and injustice prevails where hopelessness persists. And if NBA coaches believe that and if NBA players believe that, then fans can believe it too.”
He’s convinced the coaches believe.
Stevenson has been lauded publicly by virtually all the league’s coaches in recent weeks for helping educate them on things that they never knew. In a league where a handful of coaches -- Golden State’s Steve Kerr and San Antonio’s Gregg Popovich, most notably -- are not shy about sharing political views publicly, this moment has driven other coaches to use their voices as well.
The NBA got permission to make the “John Lewis: Good Trouble” documentary available to all head and assistant coaches this week and several teams -- including the Magic, at Clifford’s request -- screened the film. It was also available as a featured movie on the curated channel within the hotels.
“I’m inspired by how this movement still has great stamina, and I think our ability to go there and still keep the conversation alive with our platforms is important,” Miami coach Erik Spoelstra said. “The next step that everybody wants to see is action and lasting, sustainable change in areas of systemic racism and social inequalities.”
Players are at Disney to compete for a championship, though the broader societal issues have not diminished since they arrived. Denver’s Jerami Grant took five questions in an interview last week and all his answers, no matter the topic, revolved around a demand for arrests in the killing of Breonna Taylor. Philadelphia’s Tobias Harris took a similar tactic a few days later. Houston’s Russell Westbrook has a clothing line that will display social-justice messaging and most players will wear jerseys with similar thoughts printed on the back as well.
If the players take an action on the court during games, such as kneeling, a person with knowledge of the situation said coaches have agreed to do the same. The person spoke to The Associated Press on condition of anonymity because no plans have been announced.
“It’s a seminal moment, in the sense that we have an opportunity to do something transformative if we have the courage,” Popovich said. “And as with many things in today’s world, interest wanes pretty quickly no matter what the topic. ... So, the league, the players, the coaches, staff, everybody is very committed to keeping it up-front in everybody’s consciousness, even though everybody’s excited to go play. This is a great opportunity.”
At Disney the NBA will where the phrase “Black Lives Matter” is painted on the courts for games. Stevenson believes coaches can have that same impact.
The way NBA Commissioner Adam Silver sees it, fans will take their cues from watching their various favorite teams -- players and coaches alike. If the NBA is speaking change into existence and acting accordingly, he believes fans will apply that same passion to whatever role they can play into the movement.
“We can use that same desire and hope for racial equality and an end to police violence and justice for communities that have been undermined by unhealthy unsafe practices and policies,” Stevenson said. “That’s a really powerful thing to imagine. And so, if we can achieve that, yes, I absolutely believe that can be a transformative moment.”
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Reports: Patrick Beverley leaves NBA campus for personal emergency,From NBA media reports ,"Jul 21, 2020 10:17 PM ET","












From NBA media reports 
Jul 21, 2020 10:17 PM ET
LA Clippers guard Patrick Beverley left the NBA campus on Tuesday for an emergency personal matter, according to multiple reports.
Beverley is expected to rejoin the team in the future, and he'll need to follow the NBA's Health and Safety re-entry protocol when that time comes.
If a player leaves campus for extenuating circumstances, he will be required to quarantine for 4-10 days upon his return. The period will be four days if the player who left campus produces negative tests for at least seven days prior to his return.
In other words, Beverley will need to pass a coronavirus test every day he is off-campus in order to have a four-day quarantine inside the Disney hotel instead of 10.
The Clippers will play their first exhibition game against the Orlando Magic on Wednesday. They will be without Beverley and forward Montrezl Harrell, who left Orlando last week for an emergency family matter.

LA will play its first seeding game on July 30 against the L.A. Lakers.
Copyright © 2020 NBA Media Ventures, LLC. All rights reserved.
Privacy Policy | Accessibility and Closed Caption | Terms of Use | Do Not Sell My Personal Information 
NBA.com is part of Turner Sports Digital, part of the Turner Sports & Entertainment Digital Network."
Headline,Author credits,Date and Time,Text
