Index,Content,Category
0,"With a world title and an Olympic silver medal of their own already, Meryl Davis and Charlie White were quite happy to share this latest accomplishment. Davis and White won their fifth consecutive ice dance crown at the US Figure Skating Championships on Saturday, matching a record held by four other couples. As the audience stood and cheered, Davis knelt close to the ice for several seconds, her head bowed. ''Being in such an elite group of American ice dancers from the past and seeing that we belong with them, it's special,'' White said. ''All the hard work and our families and their dedication, our support group — you need a lot of things to come together to make that happen, including staying healthy. There are a lot of little things. I'm proud of us for being able to stick with it, and our continuing love for the sport has helped a lot. ''I'm pleased and I couldn't be more proud.'' Judy Schwomeyer and James Sladky (1968-72); Judy Blumberg and Michael Seibert (1981-85); Naomi Lang and Peter Tchernyshev (1999-2003); and Tanith Belbin and Ben Agosto (2004-2008) also won five titles. The Olympic silver medalists and 2011 world champions had had such a big lead after the short dance they had to do little more but step on the ice to win. But they did so much more than that with their dramatic and powerful routine to ''Notre Dame de Paris,'' setting personal bests for both overall score (197.44 points) and free dance (118.42). They finished more than 20 points ahead — yes, you read that right — of Madison Chock and Evan Bates (175.91). Maia and Alex Shibutani were docked a point for an extended lift and finished third (174.21). Earlier Saturday, Marissa Castelli and Simon Shnapir overcame a big mistake to win their first pairs title. ''Coming to the US Championships is a good time and there's always a positive energy,'' Davis said. ''It's such an honor to come here. I think being able to perform really well pushes us to put out a better performance, and we are honored to get the results that we did.'' For generations, Americans weren't even an afterthought in ice dance. They were so far below the world powerhouses it's a good bet the Russians and British didn't even know their names. But that has changed in the last 10 years, and Davis and White now set the standard in the sport. Their rivalry with Canada's Tessa Virtue and Scott Moir is the best thing going, with the training partners playing a game of ''Can you top this?'' Virtue and Moir edged the Americans at the Vancouver Olympics, as well as at the 2010 and 2012 world championships. The Americans won the world title in 2011, as well as the last four Grand Prix finals. Though they have no peers in the United States, that doesn't mean they coast when they come to nationals. Far from it. ''That energy only pushes us and makes us feel even more excited,'' Davis said. Their performance was spellbinding, so intense no one in the arena dared breathe. Every inch of the ice, every nuance of music was filled with intricate and elegant moves, one more difficult than the next. Their skating skills have always been superb, their edge quality so fine that coaches pop in DVDs of them to show their students. But it is the way they combine the athletic strengths with the beauty and elegance of a dance that makes them so breathtaking. They are a sporting event and a theater show rolled into one. Their lifts can barely be described they were so intricate and innovative. In one, White twirled Davis like a rifle and whipped her from his front to back all while skating and turning at full speed. They oozed emotion, using the tips of their eyelashes all the way down to the toes of their feet to express the character of the dance, and the audience was as exhausted as Davis and White when they finished. Chock and Bates and the Shibutanis have the misfortune of trying to compete with that, and there was no way they could come close. At least, not now. Chock and Bates' lifts are filled with unique positions, and they were done with great speed and control. But it was the love story they displayed to ''Dr. Zhivago'' that was so delightful. Close your eyes, and you could almost see the horses and the sleigh in the falling snow. ''It's been such a great season,'' Chock said. ''We have been working very hard, and we hope to keep getting better and better from here.'' The Shibutanis' routine to ''Memoirs of a Geisha'' was seamless, the elements flowing from one to the other so perfectly it was impossible to tell where one ended and the next began. The siblings opened with a pairs spin that was better than anything seen during the actual pairs competition earlier in the afternoon, and it lasted for what seemed like forever - no easy feat to maintain that speed and momentum. Their twizzles — traveling spins — are, simply, exquisite. They are done in perfect unison, right down to the raising of their arms while they spin. Their big flaw was that he held his sister too long on a lift, a mistake they also made in the short dance.",Raw Data
1,"The Croatia striker took advantage of a mistake from Christian Molinaro to put Bayern ahead in the 50th minute, intercepting the defender's back pass before rounding the goalkeeper. The visitors put the game beyond doubt in the 72nd when Mandzukic crossed for Thomas Mueller to finish off a counterattack in the 72nd. Mueller earlier had a goal ruled out for offside. Bayern's 15th win from 19 games leaves it 11 points clear of Bayer Leverkusen, which was held to a 0-0 draw at Freiburg on Saturday. Defending champion Borussia Dortmund is third, a point further back.",Raw Data
2,"Round 1 – Herman comes out with a low kick and Jacare walks through it. Herman is keeping at a distance; Jacare is winging punches early and we’re to the cage early. Herman with some nice dirty boxing and Jacare backs out. Jacare with a nice double leg 75 seconds in. Herman goes for a heel hook and scramble from Souza gets him back into full guard. Upkicks from Herman land and ref stands them up for illegal kicks. No point deduction, though. Jacare with a nice exchange and Herman grabs the clinch, Jacare out quickly. Herman presses in and Jacare with a beautiful clinch, lands some beautiful knees. Jacare grabs a slam and Herman is flat on the back, side control. Jacare grabs a kimura and torques it behind the back, moves beautifully and gets north south with it deep. Herman taps at 3:10 of the first round. Official Result: Ronaldo “Jacare” Souza wins via submission (kimura) at 3:10 of the first round. Gegard Mousasi vs. Mike Kyle Round 1 - Both guys come out tentative, Mousasi with a massive leg kick that just cracked. These guys are just throwing down and Mousasi grabs a double, can’t quite finish it. Kyle against the cage as Mousasi can’t finish, gives it up and back to standing. Kyle’s striking looks really crisp tonight. He’s landing solid strikes as he’s looking to counter; Mousasi is stalking him down but isn’t looking to trade. Double leg connects and Kyle grabs full guard. Mousasi works ground and pound right as Kyle is trying to get up but Mousasi is controlling him on the ground effectively. Kyle’s holding on, working for the standup, as Mousasi grabs mount with 80 seconds left. He postures up and is raining strikes. Kyle gives up his back as Mousasi is unloading on him. Mousasi grabs a rear naked choke and Kyle taps with :52 seconds left. Official Result: Mousasi wins via submission (Rear naked choke) at 4:08 of the first round. Josh Barnett vs. Nandor Guelmino Round 1 – Barnett shoots in right away, takedown and Barnett into side control. Nandor tries for a guillotine but can’t finish it. Barnett working in full guard as both are exchanging lightly. Barnett postures up, can’t finish a leg lock but Nandor scrambles out. Barnett grabs back as Nandor stands up,Nandor fighting to stay on his feet. Barnett drags him down into mount. Nandor gives up an arm-triangle and then taps to it at 2:11 of the first round. Official Result: Josh Barnett wins via arm-triangle at 2:11 of the first round. Daniel Cormier vs. Dion Staring Round 1 – Cormier opens with a nice head kick; he looks light on his feet. Staring goes for the clinch and Cormier lets him go. Cormier looks like he’s auditioning for K-1 right now. Staring gets planted on the ground with a throw, lands in side control. Cormier moves into a mounted crucifix but Staring scrambles out. Cormier is leaning on him as he’s landing at will. Staring isn’t in this guy’s league and Cormier goes for the finish as he unloads a beautiful combination, grabs another takedown and back into side control. Cormier is landing some big elbows from the top as Staring has no answer. He scrambles to his feet and Cormier lands a head kick. Staring loses his mouthpiece and we have a break. Cormier grabs the clinch and drags him to the ground. Cormier in mount giving him a bit of a beating right now; Cormier is just out-classing him right now. Round ends as Cormier tees off on him from mount. 10-8 Cormier. Round 2 – Staring comes out throwing and connects; he goes against the cage and Cormier decides to start trying. Grabs the clinch, working for the takedown against the cage. He lets it go and back to the middle of the cage. This feels like a fight that’s a bad contest, like Staring won a “MMA Fan gets to take on Cormier” radio contest. Cormier grabs a takedown, moves into side control. Staring gives up his back and Cormier is looking to end this. Staring monkey rolls and to his back, then onto his back again, then onto his belly some more. Cormier is looking for the finish now; he wants an amrbar and Staring is just trying not to get finished at this point. He gives up his back and Cormier is lighting hijm up at this point. Staring is just avoiding shots and John McCarthy gives him some mercy and calls it at 4:01 of the second round. And now comes the only fight on this main card that wasn’t a completely blatant mismatch. Nate Marquardt vs. Tarec Saffiedine Round 1 – Nate looks like he’s auditioning for K-1 alongside Cormier as well; lots of kicks as he’s using his arsenal. Tarec is game as well; some nice leg kicks from him. Tarec gets a nice counter and Marquardt is rocked. He goes for the takedown and gets him down, nothing really much as he’s back to his feet. Marquardt with a nice combination and Tarec goes for the takedown; Marquardt underneath and we’re playing knee the other guy in the body right now. It’s odd that this fight is actually close right now considering how much of a one-sided ass-kicking everything else on the main card was. The fans aren’t happy, either, as a close fight is something they haven’t seen for a while. 10-9 Saffiedine. Round 2 – Tarec rocks him a minute in but Marquardt gets him down. Tarec back up quickly, then to some cage dancing. Not a lot happening as I take a break to get a beer. One of those kinds of nights. I’m back and Big John breaks up the waltz I think they were doing. Marquardt with another takedown and that ain’t happening. Tarec’s as bored of that takedown as pretty much everyone is of this fight so far. Some nice combinations to end the round. 10-9 Tarec, 20-18 Tarec Round 3 – Tarec opens the round with another awesome leg kick. Nate’s leg has to be hurting now; you can hear how loudly that’s hitting. Nate goes back to trying to get a takedown and they’re doing a foxtrot against the cage. Tarec gets away and Nate misses a flying knee. And Tarec grabs the lead in a rumba against the cage. You can actually hear individual conversations in the crowd now; Tarec eats a big punch and is rocked a little and the guy in the fifth row has apparently been over served. Or he needs another hot dog, I’m not sure. Back to the middle of the cage as this is actually starting to turn into a fun fight when they’re standing. Nate’s leg is a bit bruised up right now as he’s getting more aggressive. Nate with another takedown attempt at the end of the round that goes nowhere. 10-9 Marquardt, 29-28 Tarec Round 4 – Both guys come out throwing as Tarec goes back to the leg kicks. He’s getting Faber/Aldo territory right now. Nate is getting chopped down as he’s getting desperate. Nate’s leg is all sorts of bad right now. Nate’s throwing power shots now as he’s looking to finish this soon; that leg looks horrible. He’s trying to catch those kicks as their coming in but can’t quite catch ‘em; Tarec puts Nate into the cage and it’s time for an ’80s style slow dance with a minute left but Nate isn’t down with that. Back to the middle of the cage as Tarec is in control of this fight. 10-9 Tarec, 39-37 Round 5 – Tarec is jacked for this final five minutes and he might be the only one. Tarec is doing his best lumberjack impression right now as he’s looking to kick him down. He then grabs the clinch and it’s back against the cage; these two are cage-dancing so much it looks like a “Dancing with the Stars” audition. All they need is some glittery trunks, I suppose. A minute or so of that and we’re back to the middle of the cage. Nate finally decides to block a kick as his leg looks like he’s about to fall down on it. Tarec decides he really wants on this season and we’re back to cage dancing some more. 90 seconds left and he lets go but Nate is just kind of chilling, looking to win his spot on “Dancing” instead. Finally with a minute left and we’re back to the middle of the cage. 50 seconds and Tarec fakes out Nate by implying he was going to do the Charleston but takes him down instead. Round ends as Tarec pounds on him in half guard. 10-9 Tarec, 49-46 Official Result: 48-47, 49-46, 49-46 Tarec Saffediene And now … Strikeforce is gone.",Raw Data
3,"Zagoruiko skied fast and shot clean to take a dominant victory in the 15km clocking 48:04.9minutes with Ane Skrove Nossum taking silver and Monika Hojnisz bronze. Hojnisz won bronze in the mass start at the World Championships in Nove Mesto on Sunday while Semenov incurred one penalty in the 20km but still won by almost 15 seconds. The Ukrainian recorded a winning time of 52:50.2, 14.3 seconds ahead of Tobias Arwidson, who shot clean while the home nation had something to shout about as Krasimir Anev took bronze. Anev could have easily have been toasting silver however he broke both his poles on the last loop, one just as he came out of the range and the other during the lap. Heavy snowfall set in for the men's race but Semenov admitted it affected him little as he admitted to claiming an unexpected victory in Hungary. ""During the race I did not get any information from the coaches except 'everything is OK, go on, go on'. I did not expect to win,"" said Semenov. ""At the last shooting I was still very nervous and my legs were shaking. On the last loop the coaches told me I was six seconds behind Tobias. ""The French athlete ahead of me [Florent Claude] had a very good last loop and I could go behind him, this was very good for me.""",Raw Data
4,"Emily Seebohm blamed her overuse of social networking website Twitter for her failure to win Olympic gold at London 2012 as the favorite in the women's 100m backstroke, where she finished second. Australian swimmers failed to win more than one gold medal for first time since 1992 (CNN) -- Australian swimming officials have vowed to ""win back the admiration of a nation"" following the release of a damning report that blamed a ""toxic"" team environment at London 2012 which led to the country's worst Olympic pool performance in 20 years. It was the first time Australia had failed to win more than one swimming gold medal since 1992, and the subsequent independent review revealed problems throughout the team -- from lack of leadership at the top to unacceptable behavior by the athletes. ""Standards, discipline and accountabilities for the swim team at the London Olympics were too loose,"" the report said, having canvassed 94 individuals and received 30 submissions. ""There were enough culturally toxic incidents across enough team members that breached agreements (such as getting drunk, misuse of prescription drugs, breaching curfews, deceit, bullying) to warrant a strong, collective leadership response that included coaches, staff and the swimmers. No such collective action was taken."" Coming soon after this month's government report claiming widespread use of drugs by Australian athletes, it is another serious blow to the country's image of sporting excellence. Why is Australia faltering at Games? Stephanie Rice, who has made an art of her pre-race rituals, was under big pressure to perform at the Australian 2012 Olympic trials in Adelaide in March. Swimming Australia said Tuesday it had already begun to address some of the issues raised in the review, and had a 100-day plan to tackle them further. ""Swimming has a proud history in this country and everyone in the sport wants to maintain and improve on the credibility and integrity which has developed over more than a century of success,"" said its president Barclay Nettlefold. ""Before we look at winning gold medals, we want to win back the admiration of the nation, and we want to engage with our swimming community like never before at every level."" One of the review's key criticisms was that team officials had been so focused on winning gold medals that the morale of the athletes suffered. Swimmers complained of being ignored if they failed to achieve expected standards, describing it as the ""Lonely Olympics"" and the ""Individual Olympics."" ""Things were quiet and weird when someone lost. You just sort of went to your room and got out of the way,"" said one in the report. Some respondents felt that team officials were only interested in presenting the most well-known swimmers to the media, with 24 of the 47-strong squad being first-time Olympians, while some did not turn up to support their colleagues on race days. ""The consequence was an undertone of divisions, now and then, us and them, men and women, the best and the rest,"" the report said. ""Poor behavior and disrespect within the team were not regulated or resisted strongly by other team members, and it was left unchecked or without consequence by staff and coaches on a number of occasions. ""Some individual incidents of unkindness, peer intimidation, hazing and just 'bad form' as a team member that were escalated to personal coaches were not addressed and had no further consequence."" Read: 'The Social Media Games' These problems were magnified by a lack of control of the team's social media activities, the report said. Emily Seebohm claimed her overuse of Twitter cost her a gold medal in the 100 meters backstroke event in which she was favorite, while Stephanie Rice made headlines after posting a picture of herself in a skimpy bikini just before the Games. Teammates Nick D'Arcy and Kenrick Monk were forced to remove a picture they posted online showing them with weapons in a U.S. gun shop. They were banned from using social media at London 2012. ""The media search for controversy is nothing new, but London was the first Games where the influence of social media was so dramatic,"" the report said. Read: Triumph and scandal - Olympians in social media spotlight ""Some athletes engaged deeply in public debate on what they were doing, how they were doing, and even on who they actually were as individuals. This served to fuel emotions, good and bad, at a time where calmness, intensive focus and consistency should have prevailed. ""Social media also allowed already disconnected athletes to seek support from sources external to the team, which again diminished the reliance on a unified team."" The report said the lack of team spirit was partly caused by letting the swimmers prepare under individual programs with their own coaches, which caused a disconnect at all levels of the squad. Meanwhile, the Olympic village environment was described as ""mayhem"" and ""a candy shop of distractions."" ""Fragmentation was compounded in the absence of familiarity and sufficient opportunities to connect formally and socially. Greater cohesion as a team would have needed to be intentional and cultivated by design,"" the report said. The Australian Sports Commission welcomed the review's findings. ""Swimming Australia has already commenced recruitment for a new high performance director and has also taken steps to improve its relationship with key stakeholders,"" said ASC chief executive Simon Hollingsworth. ""This report is a clear message to Swimming Australia to continue its reforms to enable it to return to the top table of international swimming.""",Raw Data
5,"The game became feisty even before the puck dropped as Ryan Clowe and Alexandre Burrows got into it at center ice and it remained that way. ''We know there is a lot of stake when we play them,'' Pavelski said. ''The intensity was set . . . I'd like to stay at the first puck drop but it was before that. That's the first time I've seen something like that.'' Joe Thornton also scored for the Sharks, who improved to 5-0-0. Antti Niemi made 23 saves as coach Todd McLellan earned his 200th career victory. ''We were ready to go. I think that Clowie getting us going early was huge for us,'' Thornton said. ''Every game against these guys is just a really, super competitive game, and I think we saw that again. Both teams are engaged early.'' Marleau scored two goals in each of the first four games of the season, becoming the first NHL player do pull of that trick since 1917. ''It would have been nice to keep it going,'' Marleau said. ''But I got a lucky one tonight and I'll take it.'' Burrows scored for the Canucks, who had a three-game unbeaten streak end. Cory Schneider also stopped 23 shots. ''We obviously dislike each other,'' Burrows said. ''We've seen them in the playoffs a couple of years ago. They're a Western Conference rival and they make for good games.'' Clowe tied a Sharks record with eight penalties, all in the first two periods, and a career-high 35 penalty minutes. Fights between Clowe and Zack Kassian in the first period and Douglas Murray and Aaron Volpatti in the third were lengthy and bloody. ''We're not happy about the penalties and that's all I am going to say,'' McLellan said. ''I owe Ryan Clowe my conversation. I have a lot of respect for him. I am happy we won with a good, gritty effort.'' Pavelski, Marleau and Thornton have each recorded points in the first five games for the Sharks Thornton put the Sharks on the scoreboard 43 seconds into the contest, intercepting a pass from Jason Garrison in front of the net and beating Schneider. Pavelski also stole a pass late in the first and scored. He caught Alexander Elder's pass, also in front of the net. ''I just happened to be there,'' Pavelski said. ''I think he was trying to get some wings on it and I happened to get it.'' Burrows scored midway through the second period. His shot bounced off Niemi's pads and then deflected off the back of Dan Boyle's skates and into the net. ''We made a few mistakes there that ended up in the back of net,'' Burrows said. ''But I think we bounced back pretty good. We had some chances. We had some looks, we hit some posts. At the end of the day we have to score some goals on our power play.'' Marleau, who scored his ninth goal of the season, also got a lucky bounce. Boyle's shot hit off Marleau's skate and went into the net. ''I felt something hit my foot but I was just standing there,'' Marleau said. ''I'm just trying to be in front of the net when shots are coming and creating havoc.'' Pavelski added another goal midway through the third. Notes: Thornton has 46 points (12-34) points in 39 games against the Canucks. ... Vancouver coach Alain Vigneault remains two wins away from 400. ... Canucks LW Daniel Sedin had recorded a point in his first four games. ... The Canucks were 3-0-1 against the Sharks last year. ... The Sharks went 101:27 without allowing a goal.",Raw Data
6,"Stiff competition doesn't happen too often at the Pro Bowl. But this year, with the two main contenders for the MVP award suiting up for opposite sides, the game had a little extra intrigue. Looking for more scoops on your favorite New England sports teams? Check out NESN. Adrian Peterson and Peyton Manning both had solid seasons coming back from injuries that appeared likely to limit — if not end — their careers. They’re now the front-runners for the league MVP award, to be announced this week. The voting is done, but that hasn't kept Peterson from campaigning. He thinks his 2,097 rushing yards (second most in NFL history), 6.0 yards per rush, 12 touchdowns and contribution in getting the Vikings to the playoffs is enough to give him the edge over Manning’s 4,659 passing yards, 68.6 completion percentage, 37 touchdowns and No. 1 seed in the AFC playoffs with the Broncos. ""I'm going to win it. I will get it,"" Peterson told Mark Kiszla of the Denver Post on Saturday. But Peterson’s boastings weren’t lost on the other guy in the race. Check out the photos as the NFL's best gather for some fun and football at the Pro Bowl. ""Everybody should play like Adrian Peterson,"" Manning reportedly said during a Pro Bowl event earlier in the week. ""The guy does everything full speed. The Pro Bowl. Promoting himself for MVP."" Peterson, who was in attendance at the event, said he enjoyed the joke. As for the Pro Bowl (Manning at that same event earlier in the week made a plea to his fellow NFL players to take the game seriously and raise the level of play), if the final score is any indication, Peterson had the last laugh as the NFC pounded the AFC on Sunday, 62-35. But it was another Viking, tight end Kyle Rudolph, who did the most damage with 122 yards and a TD for MVP honors. For Manning (6 of 12, 43 yards, 1 TD) and Peterson (five carries, 13 yards, no scores), it was a pretty quiet end to their seasons.",Raw Data
7,"First off, I had a whole different review planned than the one I am now forced to write. The title should give you some idea why. And when I say late, I mean very late – almost the last meaningful kick of the game. That isn’t to say Spurs, after Utd took the early lead, didn’t press and attack well and in numbers, but the defensive performance was imperious up until that point. Would you have taken a point against Spurs before the match? Of course you would. But I don’t think that statement ignores the context of how the game panned out. For instance, if you are 4-0 up against Chelsea until the 70th minute, but draw 4-4, do you say that is a point gained, or three points lost? An extreme example, but it was seconds away from a Utd win away at Spurs, so I think I have to say this was two points dropped instead. There was some question over whether the game would take place at all, given heavy snowfall that you may be aware of if you’ve been outside recently. But it did indeed go ahead thanks to underground heating and some groundsmen shovelling snow. However, it fell consistently throughout the match, and may have proved a bit of a distraction. Certainly, we can claim Spurs had some sort of camouflage! As for team news, De Gea continued in goal, as he has in the league for some time now. Standard back four of Rafael, Ferdinand, Vidic and Evra. A slightly odd positioning of Phil Jones sitting just in front of them it seemed, with a further midfield of Carrick (obviously), Cleverley and Kagawa. Welbeck and Van Persie up front. No surprises in the Spurs lineup, Bale, Defoe, Dempsey and co, all ready to go. A cagey start preceded the first goal. There was a slight moment of tension as Lennon struck low, forcing De Gea to parry. Fortunately, he caught up with the ball before Defoe did. Offside was given, but you can never be sure that it will be awarded. So, if anything, Tottenham looked the better side early on, before Utd got the goal. Welbeck spread the play to Cleverley, who dug into the striking technique of his to cross well towards the back post. It found the head of one Van Persie, who just eat up the chance for his 22nd goal of the season, leaving Spurs probably feeling a little hard done by. Utd did look alive, but Tottenham more so. Key man Bale was kept an eye on, and forced inside onto his relatively less dangerous right foot, if possible. The defence did a stirling job of this, before Bale did finally let fly with the right towards the end of the half. No change in the scoreline at half time though. However, Spurs drank some Lucozade and started the next phase with more vigour. Defoe struck wide within seconds and Bale tried to improvise an outside-of-the-boot shot that went safely over the goal joint. The clearest chance fell to Dempsey as the defence suffered a rare split, but De Gea’s right knee diverted the ball out for a corner. His shot-stopping, as is always made clear, is not in doubt. Kagawa made way for Rooney to complete his league return, and he was in the middle of the action instantly. He went down in the box from a Caulker challenge, but the ref waved the penalty appeal away. To be fair, from HIS viewpoint, it was inconclusive, it looked more obvious from the linesman’s view. It was to him Rooney gestured, but in vain. Opinion after the fact seems to be that Utd were hard done by with this decision. In the week, I think Giggs silenced his ridiculous critics as to his supposedly dwindling talents, and if it needed to be done, Ferdinand, solid as a rock throughout, then did the same for his cause. Lennon ran through and fed Defoe, who steadied himself to smack in the equaliser. Across surged Rio, timing his intervention perfectly to divert the oncoming shot away for a corner. Majestic defending from a still very classy player. After that, I felt Utd were pumped up enough to see this game out and claim the win. Sadly, it turned out not to be. Spurs kept going and deep into injury time, in came the cross, De Gea didn’t punch away sufficiently, the ball came back across the box, and there was Dempsey to spin and turn the ball home. No time to do anything about it, sealing the result as a draw. The defence looked gutted, and well they might, they were terrific for all but that last couple of seconds, and how many times have we been able to say that this season? In fact, I’ll go as far as saying that was our best defensive performance of the season, despite the equaliser. So, as I said at the start, the nature of the game leads me to think two points dropped. The gap at the top of the table is five points, not seven. Attention has been drawn to De Gea who, despite some very impressive shot-stopping, is very very vulnerable under the cross. He isn’t a commanding presence and is blocked easily by a crowded penalty box. The punch towards the end wasn’t a good connection, and more importantly it put him out of position. Perhaps if he had remained in place, Vidic may have dealt with it, or the play across the box would have come closer to him, making a save more likely. I think he is a excellent keeper in the making, but it’s this particular part of his game that still worries me. FA Cup action next against Fulham to enjoy next weekend, but first, your thoughts on the Spurs encounter below.",Raw Data
8,"For all of the drama swirling around MLS stars in 2012, the primary talking points from this year arose from more mundane occurrences. This isn't David Beckham's league any more. Thierry Henry isn't required to pick up the slack next year, either. Landon Donovan and Robbie Keane may have spurred Los Angeles to a second consecutive title, but MLS isn't their property. And Rafa Márquez never even entered this discussion before he decamped for Club Léon to repair his battered reputation. Stars matter. They always do. But, as this year showed, it’s collective strength that continues to carry the league as a whole. Stars draw eyeballs, but it was the grinders who created MLS’ signature teams during the regular season. No club embodied that theme quite like the San Jose Earthquakes. The Supporters' Shield winners missed the postseason a year ago. They returned in style after proceeding through the regular season with an aggressive, robust approach and a potent attack spearheaded by Chris Wondolowski. The former reserve team player continued his three-year tear through MLS by tying Roy Lassister's single-season goal scoring record (26 goals) and winning his first MVP award. Or how about Sporting Kansas City? Their star midfielder Graham Zusi came in third in the MVP balloting, but his team landed atop the Eastern Conference by once again relying on its 4-3-3 setup to unsettle opponents. SKC’s fundamental tenets – a reliance on pace, power and pressure – embody the strengths usually associated with the league. Its primary operators – including defender of the year Matt Besler, emerging U.S. national team midfielder Zusi and new Wigan recruit Roger Espinoza chief among them – deserved all the praise. One knock on the league, and it’s a fair one, is that the winning teams tend to all use this same, dogged approach. Do credit some MLS teams with trying to experiment, and for beating the reeds in the Americas. Some of these arrivals – including newcomer of the year Federico Higuaín in Columbus and Houston midfielder Boniek Garcia – enjoyed immediate success. Other signings failed to meet initial expectations and watched as veterans acquired from more traditional outposts – former Anderlecht center back Victor Bernárdez, ex-Wolfsburg defender Arne Friedrich and former South Korea fullback Young-Pyo Lee – eclipsed their contributions. But MLS has the latitude to develop along a measured course and it has and will continue to make a few errors along the way. The standard of play must continue to increase as the years progress and the players’ wages must accommodate that growth. But the league is no longer fighting just to stay alive – a triumph given its not-too-distant past. MLS’ challenge now involves finding a way to sustain current upward trajectory while riding through any temporary setbacks – homophobic epithets uttered by its players, petulant displays toward the beleaguered and derided referee crews and rugged tackles on the handful of truly skilled players in the league, for example – to the cause. Consistency and competence in New York and Toronto would help matters significantly, but other positive developments off the field ensured the growth continued this season. Attendance climbed for the third consecutive season and surpassed six million for the first time with Portland, Seattle and Vancouver driving interest from the Pacific Northwest. Houston moved from the aging Robertson Stadium to the gleaming, soccer-specific BBVA Compass Stadium. Montréal joined as the league's 19th team and succeeded in its inaugural season by combining Canadian, Italian and Quebecois influences. A deal to place the 20th team in Queens appears likely at some point in 2013. Who were this year's best XI in Major League Soccer? Find out. And with all of those developments on and off the field, the stars still created the buzz and determined the fate of MLS Cup yet again. Beckham capped his tumultuous MLS career with a second consecutive title with Donovan and Keane forming a particularly potent duo up front. Donovan dropped hints that he may step away from the game for a period after displaying his credentials yet again. (He also stoked the ridiculous debates about his place in the American game yet again – which may have been the point.) Henry dazzled for much of the regular season and then joined Keane to comprise the primary components of the standard off-season loan rumor mill. The funny thing is that even in this new world, MLS’ big stars still divert attention away from the rank and file occurrences deserving of more adulation. MLS isn't really a star’s league any more – except here on the sports pages. Kyle McCarthy writes about the beautiful game for FOX Soccer, the Boston Herald and several other publications. Follow him on Twitter @kylejmccarthy.",Raw Data
9,"In the final game of the triple-header with Melbourne, it was the Kangaroos who trimphed by five points, 7.6 (48) to 6.8 (44). It took a Aaron Black goal with 40 second on the clock to put the Kangaroos in front and Shane Edwards had a chance to win it for Richmond but his shot sailed wide and missed everything. The Tigers, having backed up from their win over Melbourne in the second game, came out strong in the final game of the night and looked to be heading for an unlikely win before the North Melborne comeback. The Kangaroos join Collingwood as the only other undefeated team with two more round-robin clashes to come. Start of sidebar. Skip to end of sidebar. Majak Daw provided the highlight of the night, taking the ball just outside the 50m arc he jinked around Tigers defender Steven Morris with a strong fend before running in and slotting a classy goal. It was a big night for the AFL's first Sudanese-born player and will go a long way to him securing an AFL debut in round one. Kangaroos coach Brad Scott was pleased with his big-man's effort but tempered expectations. ""He's in contention, but I think Daniel Currie was a terrific story tonight. He's one of a number of players we've got who play (Daw's) position,'' Scott said. Richmond were well served by their leaders, Trent Cotchin, Brett Deledio and Dustin Martin, were all strong during the second game. Tigers coach Damien Hardwick was pleased with his players effort, despite the narrow loss. ""Our intensity, our ability to tackle and cause turnovers was outstanding,'' he said. Earlier, the Tigers inflicted a second-straight defeat on Melbourne, after the Demons had lost to North Melbourne in the opener at Etihad Stadium. The fresh Tigers took advantage of Melbourne backing up after the first game to register a scrappy 15-point win, 1.2.9 (30) to 2.2 (14). The Tigers burst out of the blocks, Cotchin starting brightly as his side dominated the midfield and had eight scoring shots to the Demons' one in the first half. Riewoldt and Vickery each kicked a first-half goal, while running defender Bachar Houli, who had a strong game, booted a nine-point super goal. Small defender Steven Morris was also good for the Tigers, blanketing Aaron Davey and winning plenty of the ball. But he gave Melbourne their only goal of the first half, giving away a free kick and 50m penalty to put Jack Watts in range to goal. Watts, who played in defence, was among the Demons' best and had a big hand in Richmond not kicking further clear in the second half. Melbourne draftee Jimmy Toumpas had an impressive debut, with eight touches and a goal, while reigning best-and-fairest winner Nathan Jones was good for the Demons in both of their matches. Who will you pick in your FOX FOOTY Supercoach team? Join Australia's biggest fantasy sports game and have a shot at $50,000. In the opening game, Majak Daw showed glimpses of his exciting athletic potential in the Kangaroos two-point win. Both teams showed off new faces but it was the Kangaroos who prevailed 1.4.5 (38) to 0.5.6 (36). While Daw, elevated to North's main list at the end of last season after three years as a rookie, didn't do a lot, what he did do stood out. The powerful 195cm forward-ruckman took a strong pack mark in defence midway through the first half. Soon after he produced a nice ruck tap from a boundary throw-in to set up a nine-point super goal for ex-Port Adelaide recruit Ben Jacobs. It was a bright start in Kangaroos colours for Jacobs, who had set up North's first goal with a kick into attack which allowed Lindsay Thomas to take a high-leaping mark over Demons recruit David Rodan. Another Melbourne recruit, Shannon Byrnes, was involved in letting in the opposition for a goal later in the half, being run down by Kangaroos veteran Brent Harvey, with the turnover setting up Lachie Hansen to mark and goal. There were a few good signs for the Demons. Big-leaping Jeremy Howe kicked two second-half goals from marks, to tighten the contest after the Kangaroos threatened to run away with it. The Demons would have been thrilled to see hulking 18-year-old Jesse Hogan use his body cleverly to mark late in the first half, then thread through a goal from the pocket. The only problem is they'll have to wait more than a year to watch him do something similar in a game for premiership points, as the under-aged recruit is only allowed to participate in the pre-season this year. Nathan Jones continued his best-and-fairest form from last season, while midfield father-son recruit Jack Viney had some good moments, but ex-Collingwood key forward Chris Dawes had a quiet start in Demons colours. Captain Andrew Swallow was North's best player.",Raw Data
