text,hashtags,likes,has_media,retweets,img_urls,screen_name,timestamp,is_replied,is_reply_to,parent_tweet_id,replies,tweet_id,tweet_url,user_id,username
"impressão minha ou o AD deu uma engordada? sei não hein
#NBA #LakeShow",NBA|LakeShow,0,False,0,,taironWoW,2020-07-23 23:59:45,False,False,,0,1286450962668883969,/taironWoW/status/1286450962668883969,64437241,𝖊𝖚 𝖘𝖔 𝖕𝖆𝖙𝖊𝖙𝖎𝖈𝖔
"Se llegó el día, al fin volvió la #MLB y la #NBA",MLB|NBA,2,False,0,,Robra27Nery,2020-07-23 23:59:44,False,False,,0,1286450960877916166,/Robra27Nery/status/1286450960877916166,1265748458,RozBo27
"Te echaba de menos, @luka7doncic ! #NBA #MFFL",NBA|MFFL,1,False,0,,Ruky9,2020-07-23 23:59:38,False,False,,0,1286450933245894656,/Ruky9/status/1286450933245894656,434543076,Rubén Gómez Pérez
"My squads back, #Lakers! #LakersNation #NBA",Lakers|LakersNation|NBA,6,False,0,,StanShaw1,2020-07-23 23:59:26,True,False,,1,1286450884109508608,/StanShaw1/status/1286450884109508608,298314307,Stan Shaw
Anyone else starting NOT to notice the pumped in crowd noise? #NBA #WholeNewGame,NBA|WholeNewGame,0,False,0,,NutsAndBoltsSP,2020-07-23 23:59:04,False,False,,0,1286450792942182402,/NutsAndBoltsSP/status/1286450792942182402,2802128328,NutsAndBoltsSports
"I'm still blown away by Lebron's gray hair, that stuff came out of NOWHERE. #NBA",NBA,0,False,0,,JediFett,2020-07-23 23:58:23,True,False,,1,1286450621772693504,/JediFett/status/1286450621772693504,215888637,Jason Howe
Ligar a TV e vê esse amistoso 😍 um sonho NBA realizo 🏀⛹️ rsrs Manda um abraço para Paty e Rafael de Rio das Ostras/RJ #NBAnaESPN #aovivo #aovivonaespn #NBA,NBAnaESPN|aovivo|aovivonaespn|NBA,0,False,0,,Patrcia90021746,2020-07-23 23:58:12,False,False,,0,1286450573542334466,/Patrcia90021746/status/1286450573542334466,1281789540416606210,Patrícia Mesquita
I would resign effective immediately and take my talents to TNT.  #NBA #wojbombhttps://twitter.com/rtnba/status/1286449481903419393 …,NBA|wojbombhttps,1,False,0,,flsnupe,2020-07-23 23:58:01,False,False,,0,1286450529514725378,/flsnupe/status/1286450529514725378,564251805,Frankie Smith
"2Q-7' Lakers 47-36 Mavericks

#NBA",NBA,0,False,0,,DeportesTotal8,2020-07-23 23:57:44,False,False,,0,1286450456743555073,/DeportesTotal8/status/1286450456743555073,1267448857593610240,Deportes Total
Lakers v. Clippers in a 7 game series would be one of the few miracles of 2020 #NBA #sportsareback,NBA|sportsareback,0,False,0,,agedmilennial,2020-07-23 23:57:42,False,False,,0,1286450448182935554,/agedmilennial/status/1286450448182935554,965408565744713730,Aging Millennial
"Esquentando a torcida para a volta da NBA na semana passada 
#NBAnaESPN #NBA #lalakerspic.twitter.com/SkTeBanw9A",NBAnaESPN|NBA|lalakerspic,1,True,0,https://pbs.twimg.com/media/Edpj2gfXgAAUmPB.jpg,gagacast,2020-07-23 23:57:39,False,False,,0,1286450435335823362,/gagacast/status/1286450435335823362,951431074403553280,Rodrigo GagaCast
"Sports are back
Taylor Swift is back
Big Brother is back.

Today is the first good day of 2020. 

#MLBOpeningDay #NBA #TaylorSwift #BigBrother",MLBOpeningDay|NBA|TaylorSwift|BigBrother,0,False,0,,TheRealPDogg,2020-07-23 23:57:39,False,False,,0,1286450434316603392,/TheRealPDogg/status/1286450434316603392,1233664574,MatthewBenPrussky
"impressão minha ou o AD deu uma engordada? sei não hein
#NBA #LakeShow",NBA|LakeShow,0,False,0,,taironWoW,2020-07-23 23:59:45,False,False,,0,1286450962668883969,/taironWoW/status/1286450962668883969,64437241,𝖊𝖚 𝖘𝖔 𝖕𝖆𝖙𝖊𝖙𝖎𝖈𝖔
"Se llegó el día, al fin volvió la #MLB y la #NBA",MLB|NBA,2,False,0,,Robra27Nery,2020-07-23 23:59:44,False,False,,0,1286450960877916166,/Robra27Nery/status/1286450960877916166,1265748458,RozBo27
"Te echaba de menos, @luka7doncic ! #NBA #MFFL",NBA|MFFL,1,False,0,,Ruky9,2020-07-23 23:59:38,False,False,,0,1286450933245894656,/Ruky9/status/1286450933245894656,434543076,Rubén Gómez Pérez
"My squads back, #Lakers! #LakersNation #NBA",Lakers|LakersNation|NBA,6,False,0,,StanShaw1,2020-07-23 23:59:26,True,False,,1,1286450884109508608,/StanShaw1/status/1286450884109508608,298314307,Stan Shaw
Anyone else starting NOT to notice the pumped in crowd noise? #NBA #WholeNewGame,NBA|WholeNewGame,0,False,0,,NutsAndBoltsSP,2020-07-23 23:59:04,False,False,,0,1286450792942182402,/NutsAndBoltsSP/status/1286450792942182402,2802128328,NutsAndBoltsSports
"I'm still blown away by Lebron's gray hair, that stuff came out of NOWHERE. #NBA",NBA,0,False,0,,JediFett,2020-07-23 23:58:23,True,False,,1,1286450621772693504,/JediFett/status/1286450621772693504,215888637,Jason Howe
Ligar a TV e vê esse amistoso 😍 um sonho NBA realizo 🏀⛹️ rsrs Manda um abraço para Paty e Rafael de Rio das Ostras/RJ #NBAnaESPN #aovivo #aovivonaespn #NBA,NBAnaESPN|aovivo|aovivonaespn|NBA,0,False,0,,Patrcia90021746,2020-07-23 23:58:12,False,False,,0,1286450573542334466,/Patrcia90021746/status/1286450573542334466,1281789540416606210,Patrícia Mesquita
